municipality_code,municipality,party,vote_pct
1881,Kumla,Centre Party (C),0.04703451628585319
1882,Askersund,Centre Party (C),0.051837270341207345
1883,Karlskoga,Centre Party (C),0.032846095011472766
1884,Nora,Centre Party (C),0.04880995529781322
1885,Lindesberg,Centre Party (C),0.049007650515578226
1904,Skinnskatteberg,Centre Party (C),0.02850426094622392
1907,Surahammar,Centre Party (C),0.020413609072715142
1960,Kungsör,Centre Party (C),0.039104431835608036
1961,Hallstahammar,Centre Party (C),0.03353906123111905
1962,Norberg,Centre Party (C),0.022288602941176468
1980,Västerås,Centre Party (C),0.046321455817182826
1981,Sala,Centre Party (C),0.05944215820759031
1982,Fagersta,Centre Party (C),0.02487769334859998
1983,Köping,Centre Party (C),0.038449754901960786
1984,Arboga,Centre Party (C),0.04213508820034732
2021,Vansbro,Centre Party (C),0.06616399622997172
2023,Malung-Sälen,Centre Party (C),0.04321683577602405
2026,Gagnef,Centre Party (C),0.06601193436101442
2029,Leksand,Centre Party (C),0.06617993405558173
2031,Rättvik,Centre Party (C),0.056707855251544564
2034,Orsa,Centre Party (C),0.05155766077609766
2039,Älvdalen,Centre Party (C),0.05199781061850027
2061,Smedjebacken,Centre Party (C),0.03260492542490461
2062,Mora,Centre Party (C),0.05799324946302547
2080,Falun,Centre Party (C),0.0677144471979479
2081,Borlänge,Centre Party (C),0.04242049378897995
