municipality,gender,age_group,education,N
Waadhoeke,Mannen,15 tot 75 jaar,low,5144.0
Waalre,Mannen,15 tot 75 jaar,low,1005.0
Waalwijk,Mannen,15 tot 75 jaar,low,5908.0
Waddinxveen,Mannen,15 tot 75 jaar,low,3596.0
Wageningen,Mannen,15 tot 75 jaar,low,3557.0
Wassenaar,Mannen,15 tot 75 jaar,low,2525.0
Waterland,Mannen,15 tot 75 jaar,low,1234.0
Weert,Mannen,15 tot 75 jaar,low,5070.0
Weesp,Mannen,15 tot 75 jaar,low,
Werkendam,Mannen,15 tot 75 jaar,low,
West Betuwe,Mannen,15 tot 75 jaar,low,5600.0
West Maas en Waal,Mannen,15 tot 75 jaar,low,1966.0
Westerkwartier,Mannen,15 tot 75 jaar,low,5592.0
Westerveld,Mannen,15 tot 75 jaar,low,2059.0
Westervoort,Mannen,15 tot 75 jaar,low,1523.0
Westerwolde,Mannen,15 tot 75 jaar,low,3805.0
Westland,Mannen,15 tot 75 jaar,low,13380.0
Weststellingwerf,Mannen,15 tot 75 jaar,low,2754.0
Westvoorne,Mannen,15 tot 75 jaar,low,
Wierden,Mannen,15 tot 75 jaar,low,2158.0
Wijchen,Mannen,15 tot 75 jaar,low,3775.0
Wijdemeren,Mannen,15 tot 75 jaar,low,2118.0
Wijk bij Duurstede,Mannen,15 tot 75 jaar,low,2132.0
Winsum,Mannen,15 tot 75 jaar,low,
Winterswijk,Mannen,15 tot 75 jaar,low,2937.0
Woensdrecht,Mannen,15 tot 75 jaar,low,2158.0
Woerden,Mannen,15 tot 75 jaar,low,4712.0
De Wolden,Mannen,15 tot 75 jaar,low,2180.0
Wormerland,Mannen,15 tot 75 jaar,low,1476.0
Woudenberg,Mannen,15 tot 75 jaar,low,1420.0
Woudrichem,Mannen,15 tot 75 jaar,low,
Zaanstad,Mannen,15 tot 75 jaar,low,17995.0
Zaltbommel,Mannen,15 tot 75 jaar,low,3266.0
Zandvoort,Mannen,15 tot 75 jaar,low,1896.0
Zederik,Mannen,15 tot 75 jaar,low,
Zeevang,Mannen,15 tot 75 jaar,low,
Zeewolde,Mannen,15 tot 75 jaar,low,2156.0
Zeist,Mannen,15 tot 75 jaar,low,5664.0
Zevenaar,Mannen,15 tot 75 jaar,low,4542.0
Zoetermeer,Mannen,15 tot 75 jaar,low,12487.0
Zoeterwoude,Mannen,15 tot 75 jaar,low,962.0
Zuidhorn,Mannen,15 tot 75 jaar,low,
Zuidplas,Mannen,15 tot 75 jaar,low,4744.0
Zundert,Mannen,15 tot 75 jaar,low,2439.0
Zutphen,Mannen,15 tot 75 jaar,low,4841.0
Zwartewaterland,Mannen,15 tot 75 jaar,low,3167.0
