region,gender,age_group,education,N
Arnhem/Nijmegen (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",21911
Arnhem/Nijmegen (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",14715
Arnhem/Nijmegen (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",21503
Arnhem/Nijmegen (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",18082
Arnhem/Nijmegen (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",17183
Arnhem/Nijmegen (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",15560
Arnhem/Nijmegen (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",12357
Delft en Westland (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",6048
Delft en Westland (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",10714
Delft en Westland (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",4838
Delft en Westland (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",2360
Delft en Westland (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",6760
Delft en Westland (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",10880
Delft en Westland (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",3084
Delft en Westland (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",5736
Delft en Westland (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",6064
Delft en Westland (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",3239
Delft en Westland (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",5296
Delft en Westland (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",5352
Delft en Westland (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",4232
Delft en Westland (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",6184
Delft en Westland (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",5084
Delft en Westland (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",3801
Delft en Westland (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",4502
Delft en Westland (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",3985
Delft en Westland (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",5239
Delft en Westland (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",7892
Delft en Westland (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",3786
Delft en Westland (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",1488
Delft en Westland (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",5660
Delft en Westland (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",9952
Delft en Westland (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",2220
Delft en Westland (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",5290
Delft en Westland (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",7390
Delft en Westland (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2726
