gm_code,municipality,gender,age_group,education,N
GM0358    ,Aalsmeer,Vrouwen,45 tot 55 jaar,"Hbo-, wo-master, doctor",440.0
GM0358    ,Aalsmeer,Vrouwen,45 tot 55 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",268.0
GM0358    ,Aalsmeer,Vrouwen,55 tot 65 jaar,Basisonderwijs,122.0
GM0358    ,Aalsmeer,Vrouwen,55 tot 65 jaar,"Havo, vwo, mbo2-4",1195.0
GM0358    ,Aalsmeer,Vrouwen,55 tot 65 jaar,"Hbo-, wo-bachelor",408.0
GM0358    ,Aalsmeer,Vrouwen,55 tot 65 jaar,"Hbo-, wo-master, doctor",209.0
GM0358    ,Aalsmeer,Vrouwen,55 tot 65 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",463.0
GM0358    ,Aalsmeer,Vrouwen,65 tot 75 jaar,Basisonderwijs,155.0
GM0358    ,Aalsmeer,Vrouwen,65 tot 75 jaar,"Havo, vwo, mbo2-4",627.0
GM0358    ,Aalsmeer,Vrouwen,65 tot 75 jaar,"Hbo-, wo-bachelor",128.0
GM0358    ,Aalsmeer,Vrouwen,65 tot 75 jaar,"Hbo-, wo-master, doctor",66.0
GM0358    ,Aalsmeer,Vrouwen,65 tot 75 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",525.0
GM0197    ,Aalten,Mannen,15 tot 25 jaar,Basisonderwijs,230.0
GM0197    ,Aalten,Mannen,15 tot 25 jaar,"Havo, vwo, mbo2-4",775.0
GM0197    ,Aalten,Mannen,15 tot 25 jaar,"Hbo-, wo-bachelor",56.0
GM0197    ,Aalten,Mannen,15 tot 25 jaar,"Hbo-, wo-master, doctor",10.0
GM0197    ,Aalten,Mannen,15 tot 25 jaar,"Vmbo, havo-/vwo-onderbouw, mbo1",631.0
GM0197    ,Aalten,Mannen,25 tot 35 jaar,Basisonderwijs,46.0
GM0197    ,Aalten,Mannen,25 tot 35 jaar,"Havo, vwo, mbo2-4",897.0
GM0197    ,Aalten,Mannen,25 tot 35 jaar,"Hbo-, wo-bachelor",356.0
GM0197    ,Aalten,Mannen,25 tot 35 jaar,"Hbo-, wo-master, doctor",78.0
