municipality,predicted_vote_party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Egedal,Liberal Alliance (I),0.107347045283204,0.10738765603349426,0.10744351949577263,0.10751344711918036,1.0934130424199393e-4,250
Egedal,Venstre (V),0.09954505834710016,0.09950424106446547,0.09952644132790751,0.09956439518579428,5.032052785242264e-5,250
Egedal,Socialistisk Folkeparti (F),0.0968632580595747,0.09686550113132547,0.09686636308448128,0.09686763174358211,5.187749827615762e-5,250
Egedal,Other - Left,0.09601419684595904,0.09594354548369184,0.0959675723055349,0.0960146011204151,6.43640729373695e-5,250
Egedal,Moderaterne (M),0.09566272923547389,0.09568613343391719,0.0957081432613184,0.09574782928473075,5.762589297178033e-5,250
Egedal,Danmarksdemokraterne (Æ),0.05668122860421924,0.056682392788961596,0.056682733164015064,0.05668316524914238,2.5138436477450336e-5,250
Egedal,Did not vote,0.036889594458713766,0.03672557145434366,0.0368231936616176,0.036915411794273545,1.588304711097895e-4,250
Egedal,Other,0.005747909288762429,0.0057490864119592484,0.0057507056427499245,0.005752732530384932,3.1693131664345825e-6,250
Esbjerg,Socialdemokratiet (A),0.3065401984262241,0.3065994902578072,0.30667050363674575,0.3067389345373405,1.215462549842588e-4,250
Esbjerg,Other - Right,0.11496908591327332,0.11483818232778308,0.1148920777631047,0.1149365289274786,7.548821423427245e-5,250
Esbjerg,Moderaterne (M),0.11281429596306851,0.11283426527412815,0.1128535543518629,0.11288173422626283,4.8756474584748553e-5,250
Esbjerg,Venstre (V),0.10985413307216636,0.1098172844456765,0.1098364267764786,0.1098697407952787,3.987775307655154e-5,250
Esbjerg,Liberal Alliance (I),0.09266677142715421,0.09264534426594707,0.09271460466576538,0.09277025375017481,1.06649810494346e-4,250
Esbjerg,Other - Left,0.0776428467317583,0.07758802043750618,0.07761136247446576,0.07764392496677652,5.3316786869899326e-5,250
Esbjerg,Danmarksdemokraterne (Æ),0.06908556885081876,0.06908664284274021,0.06908703679325709,0.0690875614907098,2.415516197920958e-5,250
Esbjerg,Socialistisk Folkeparti (F),0.06521282978354641,0.0652135991247888,0.06521414805821793,0.06521577641614498,5.127209025390038e-5,250
Esbjerg,Did not vote,0.04575651512980997,0.04553965917360821,0.045623239027635404,0.04569665005652432,1.2440841681384842e-4,250
Esbjerg,Other,0.005457754702180108,0.005457133625043669,0.005459141172864489,0.005460754189803893,3.0912988549085845e-6,250
Faaborg-Midtfyn,Socialdemokratiet (A),0.3309946479653163,0.33096406238729803,0.33102551460716967,0.33109688381844826,1.0872219999580606e-4,250
Faaborg-Midtfyn,Other - Right,0.11783539164678732,0.11775495996229693,0.11781201342610269,0.11785331527682065,8.035141653992e-5,250
Faaborg-Midtfyn,Venstre (V),0.10075710783662407,0.10073377408141783,0.10074820684966831,0.10077448091809466,3.6122359304128555e-5,250
Faaborg-Midtfyn,Moderaterne (M),0.09252154710344422,0.09253378046044898,0.09255031190055589,0.09258197135726577,4.716826900642629e-5,250
Faaborg-Midtfyn,Liberal Alliance (I),0.08729855966368531,0.087232345326212,0.08731143513843685,0.08736598533048036,1.1164740001376709e-4,250
Faaborg-Midtfyn,Danmarksdemokraterne (Æ),0.08522646623997682,0.0852277161726429,0.08522830851203703,0.0852288235450607,2.4387279120993427e-5,250
Faaborg-Midtfyn,Socialistisk Folkeparti (F),0.06906626291986138,0.06906758741755921,0.06906823643690749,0.0690695769417435,4.953837446777344e-5,250
Faaborg-Midtfyn,Other - Left,0.0679474580981735,0.06789697230529018,0.0679159000596079,0.06794701433061284,5.222444164440689e-5,250
Faaborg-Midtfyn,Did not vote,0.042933475793718645,0.04281104888429786,0.04288529699331341,0.042948962666013994,1.1126207965855092e-4,250
Faaborg-Midtfyn,Other,0.005419082732412511,0.005417163476253865,0.005419455934579223,0.005421037099565993,3.2361565221381643e-6,250
Favrskov,Socialdemokratiet (A),0.2947895982373498,0.29475197507408724,0.2948229084189624,0.29491339242228726,1.3617115638320888e-4,250
