draw,party,share
51,Other - Left,0.13242558225029116
51,V: Venstre,0.13626395766497998
51,F: SF - Socialistisk Folkeparti,0.10938467934146501
51,Other - Right,0.09714964307255049
51,M: Moderaterne,0.08265771355362853
51,I: Liberal Alliance,0.06875298660851949
51,Æ: Danmarksdemokraterne,0.06410579901464449
51,Other,0.03626477058295381
52,Did not vote,0.043369913640562
52,A: Socialdemokratiet,0.22294420021904604
52,Other - Left,0.15119919531853643
52,V: Venstre,0.10594641214825248
52,F: SF - Socialistisk Folkeparti,0.11958743300762228
52,Other - Right,0.09283975427914057
52,M: Moderaterne,0.10273530334417717
52,I: Liberal Alliance,0.07529205606783416
