municipality_code,municipality,age_group,gender,education_level,N
0120,Värmdö,51-60,Men,"Primary school, shorter than 9 years",22.6
0120,Värmdö,51-60,Men,"Tertiary education, 2 years or longer",753.1
0120,Värmdö,51-60,Men,"Tertiary education, shorter than 2 years",602.6
0120,Värmdö,51-60,Men,Upper secondary school,1501.7
0120,Värmdö,51-60,Women,Postgraduate education,42.2
0120,Värmdö,51-60,Women,"Primary school, 9/10 years",158.7
0120,Värmdö,51-60,Women,"Primary school, shorter than 9 years",39.1
0120,Värmdö,51-60,Women,"Tertiary education, 2 years or longer",1207.5
0120,Värmdö,51-60,Women,"Tertiary education, shorter than 2 years",598.6
0120,Värmdö,51-60,Women,Upper secondary school,1394.3
0120,Värmdö,61-70,Men,Postgraduate education,32.5
0120,Värmdö,61-70,Men,"Primary school, 9/10 years",338.6
0120,Värmdö,61-70,Men,"Primary school, shorter than 9 years",38.4
0120,Värmdö,61-70,Men,"Tertiary education, 2 years or longer",457.3
0120,Värmdö,61-70,Men,"Tertiary education, shorter than 2 years",469.5
0120,Värmdö,61-70,Men,Upper secondary school,1181.2
0120,Värmdö,61-70,Women,Postgraduate education,24.4
0120,Värmdö,61-70,Women,"Primary school, 9/10 years",180.7
0120,Värmdö,61-70,Women,"Primary school, shorter than 9 years",31.0
0120,Värmdö,61-70,Women,"Tertiary education, 2 years or longer",577.5
0120,Värmdö,61-70,Women,"Tertiary education, shorter than 2 years",462.6
0120,Värmdö,61-70,Women,Upper secondary school,1115.3
0120,Värmdö,71-104,Men,Postgraduate education,49.9
0120,Värmdö,71-104,Men,"Primary school, 9/10 years",344.9
0120,Värmdö,71-104,Men,"Primary school, shorter than 9 years",303.1
0120,Värmdö,71-104,Men,"Tertiary education, 2 years or longer",501.3
0120,Värmdö,71-104,Men,"Tertiary education, shorter than 2 years",406.0
0120,Värmdö,71-104,Men,Upper secondary school,1316.3
0120,Värmdö,71-104,Women,Postgraduate education,24.2
0120,Värmdö,71-104,Women,"Primary school, 9/10 years",363.3
0120,Värmdö,71-104,Women,"Primary school, shorter than 9 years",246.6
0120,Värmdö,71-104,Women,"Tertiary education, 2 years or longer",586.2
0120,Värmdö,71-104,Women,"Tertiary education, shorter than 2 years",536.0
0120,Värmdö,71-104,Women,Upper secondary school,1416.0
0123,Järfälla,18-22,Men,"Primary school, 9/10 years",2058.6
0123,Järfälla,18-22,Men,"Primary school, shorter than 9 years",17.4
